Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
31;0;1908;387;2295;0519_Diebold-Nixdorf-dn-open_backend_api-2.2.2-swagger.json
16;8;1924;395;2319;0521_Digipolis-planon-rest_api-0.1.8-swagger.json
16;11;1940;406;2346;0524_Digital-Fineprint-Engage-4.2.6-swagger.json
14;0;1954;406;2360;0526_Diligex-KYCMATIC_API-1.00.08-swagger.json
2;0;1956;406;2362;0534_Direct_Wines-PaymentAPISuite-1.6.0-swagger.json
4;1;1960;407;2367;0535_Direct_Wines-PermissionsAPI-1.1.0-swagger.json
2;0;1962;407;2369;0536_Direct_Wines-ProductSearchApi-1.1.0-swagger.json
2;1;1964;408;2372;0538_Direct_Wines-ProfileWalletAPI-1.5.0-swagger.json
4;0;1968;408;2376;0539_Direct_Wines-PromotionsAPI-1.4.0-swagger.json
32;0;2000;408;2408;0540_dirisujesse-lighthouse-1.0.0-swagger.json
3;0;2003;408;2411;0543_Divya-RS-Products-1.00-swagger.json
27;0;2030;408;2438;0551_DotFinance-TangoAPI-1.2.4-swagger.json
10;1;2040;409;2449;0553_dpeliser-workflow-1.2.0-swagger.json
18;0;2058;409;2467;0554_Dr-D-wapi-0.0.9-swagger.json
19;0;2077;409;2486;0556_drbooze-service_api-3.7.0-swagger.json
1;0;2078;409;2487;0561_Dryden-Corp-e-keeper_5_x_api-1.0-swagger.json
16;16;2094;425;2519;0572_dwisulfahnur-GoKreator-0.2.0-swagger.json
4;0;2098;425;2523;0574_DXC53-APIMActividad-1.0-swagger.json
1;0;2099;425;2524;0575_DXC53-APIMToken-1.0-swagger.json
4;0;2103;425;2528;0576_DXC53-APIMUsuario-1.0-swagger.json
246;5;2349;430;2779;0588_EBANQFINTECH-ebanq-services-1.34.0-swagger.json
10;4;2359;434;2793;0601_EdgeXFoundry1-device-sdk-1.2.1-swagger.json
9;0;2368;434;2802;0616_elasticio-maester-0.0.5-swagger.json
5;1;2373;435;2808;0622_Employment-Office-Ogilvy-2.1.1-swagger.json
