Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
8;3;1799;402;2201;0494_DDMLinnemann-ReverseProxyManagerAPI-1.0-swagger.json
26;0;1825;402;2227;0504_DeNovoDNA-JobControl-1.0.1-swagger.json
83;0;1908;402;2310;0508_dev.spptti-sppt-ti_api-2019.1-swagger.json
31;0;1939;402;2341;0519_Diebold-Nixdorf-dn-open_backend_api-2.2.2-swagger.json
16;8;1955;410;2365;0521_Digipolis-planon-rest_api-0.1.8-swagger.json
16;11;1971;421;2392;0524_Digital-Fineprint-Engage-4.2.6-swagger.json
14;0;1985;421;2406;0526_Diligex-KYCMATIC_API-1.00.08-swagger.json
2;0;1987;421;2408;0534_Direct_Wines-PaymentAPISuite-1.6.0-swagger.json
4;1;1991;422;2413;0535_Direct_Wines-PermissionsAPI-1.1.0-swagger.json
2;0;1993;422;2415;0536_Direct_Wines-ProductSearchApi-1.1.0-swagger.json
2;1;1995;423;2418;0538_Direct_Wines-ProfileWalletAPI-1.5.0-swagger.json
4;0;1999;423;2422;0539_Direct_Wines-PromotionsAPI-1.4.0-swagger.json
32;0;2031;423;2454;0540_dirisujesse-lighthouse-1.0.0-swagger.json
3;0;2034;423;2457;0543_Divya-RS-Products-1.00-swagger.json
5;0;2039;423;2462;0546_DocuScan-DocuScan.Blackboard-1.0.0-swagger.json
27;0;2066;423;2489;0551_DotFinance-TangoAPI-1.2.4-swagger.json
10;1;2076;424;2500;0553_dpeliser-workflow-1.2.0-swagger.json
18;0;2094;424;2518;0554_Dr-D-wapi-0.0.9-swagger.json
19;0;2113;424;2537;0556_drbooze-service_api-3.7.0-swagger.json
1;0;2114;424;2538;0561_Dryden-Corp-e-keeper_5_x_api-1.0-swagger.json
16;16;2130;440;2570;0572_dwisulfahnur-GoKreator-0.2.0-swagger.json
4;0;2134;440;2574;0574_DXC53-APIMActividad-1.0-swagger.json
1;0;2135;440;2575;0575_DXC53-APIMToken-1.0-swagger.json
4;0;2139;440;2579;0576_DXC53-APIMUsuario-1.0-swagger.json
246;5;2385;445;2830;0588_EBANQFINTECH-ebanq-services-1.34.0-swagger.json
10;4;2395;449;2844;0601_EdgeXFoundry1-device-sdk-1.2.1-swagger.json
9;0;2404;449;2853;0616_elasticio-maester-0.0.5-swagger.json
5;1;2409;450;2859;0622_Employment-Office-Ogilvy-2.1.1-swagger.json
10;0;2419;450;2869;0627_Engagency-MyBenefits.Life-v4.1-swagger.json
26;0;2445;450;2895;0631_Enrico-Ansaloni-VST-1.0.0-swagger.json
22;0;2467;450;2917;0633_Enrout-Enrout-1.0.0-oas3-swagger.json
1;0;2468;450;2918;0634_ePropServices-Referrals-1.0.2-swagger.json
40;37;2508;487;2995;0637_erezblm-AmiadClientAPI-2.0.4-swagger.json
