Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
6;0;7036;3105;10141;1985_XNAT-Metrics-1.0.0-swagger.json
24;0;7060;3105;10165;2004_youbim-llc-youbim-1.0.0-swagger.json
2;2;7062;3107;10169;2008_yujinlim-myatm-1.0.0-swagger.json
9;1;7071;3108;10179;2020_zCode-Solutions-meetMyTypes-mobile-api-doc-1.0.2-swagger.json
1;0;7072;3108;10180;2032_Zipari-Core-Services-CareFirstMemberPoliciesList-100.0.2-swagger.json
1;0;7073;3108;10181;2036_Zipari-Core-Services-DocumentsList-10.3.1-swagger.json
15;29;7088;3137;10225;2037_Zipari-Core-Services-EDE_api-1.0.1-swagger.json
1;0;7089;3137;10226;2039_Zipari-Core-Services-GroupsList-10.0.4-swagger.json
1;0;7090;3137;10227;2040_Zipari-Core-Services-IDCardsList-10.2.1-swagger.json
1;0;7091;3137;10228;2042_Zipari-Core-Services-MemberPoliciesList-10.1.4-swagger.json
1;0;7092;3137;10229;2043_Zipari-Core-Services-MembersList-10.2.1-swagger.json
1;0;7093;3137;10230;2049_Zipari-Core-Services-MessageThreadsList-10.5.1-swagger.json
1;0;7094;3137;10231;2054_Zipari-Core-Services-PlansList-10.5.2-swagger.json
1;0;7095;3137;10232;2057_Zipari-Core-Services-PoliciesList-10.1.10-swagger.json
1;0;7096;3137;10233;2060_Zipari-Core-Services-ProvidersList-10.0.7-swagger.json
1;0;7097;3137;10234;2062_Zipari-Core-Services-TransactionsList-10.1.1-swagger.json
20;11;7117;3148;10265;2066_Zipari-Core-Services-zipari_provider_portal_v_3_0_1_payer_api_specification-3.0.3-swagger.json
1;0;7118;3148;10266;2068_ZIPARI19-policy_api-1.0.0-swagger.json
