Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
16;0;2218;571;2789;0449_CyberArk_AAM_SME-PKIaaS-1.0.0-swagger.json
20;148;2238;719;2957;0463_daniel.pellejero-111-1.0.0-oas3-swagger.json
6;10;2244;729;2973;0468_dario-frongillo-workshop-poll-maker-1.1.1-swagger.json
2;0;2246;729;2975;0477_Data-Creativa-CPS-1.0.0-swagger.json
3;0;2249;729;2978;0478_Data-Creativa-SanbornsTelcel-1.0.0-swagger.json
24;73;2273;802;3075;0483_datahen-datahen-api-1.0.1-swagger.json
3;0;2276;802;3078;0491_DCAPIPKB-managedaccountenrollment-1.0-swagger.json
141;77;2417;879;3296;0492_dcenedella-ship-engine_api-1.1.202003301403-swagger.json
8;3;2425;882;3307;0494_DDMLinnemann-ReverseProxyManagerAPI-1.0-swagger.json
26;0;2451;882;3333;0504_DeNovoDNA-JobControl-1.0.1-swagger.json
83;0;2534;882;3416;0508_dev.spptti-sppt-ti_api-2019.1-swagger.json
9;24;2543;906;3449;0516_Diacare-Soft-LMS-1.0.0-oas3-swagger.json
31;0;2574;906;3480;0519_Diebold-Nixdorf-dn-open_backend_api-2.2.2-swagger.json
16;8;2590;914;3504;0521_Digipolis-planon-rest_api-0.1.8-swagger.json
16;11;2606;925;3531;0524_Digital-Fineprint-Engage-4.2.6-swagger.json
14;0;2620;925;3545;0526_Diligex-KYCMATIC_API-1.00.08-swagger.json
2;0;2622;925;3547;0534_Direct_Wines-PaymentAPISuite-1.6.0-swagger.json
4;1;2626;926;3552;0535_Direct_Wines-PermissionsAPI-1.1.0-swagger.json
2;0;2628;926;3554;0536_Direct_Wines-ProductSearchApi-1.1.0-swagger.json
2;1;2630;927;3557;0538_Direct_Wines-ProfileWalletAPI-1.5.0-swagger.json
4;0;2634;927;3561;0539_Direct_Wines-PromotionsAPI-1.4.0-swagger.json
32;0;2666;927;3593;0540_dirisujesse-lighthouse-1.0.0-swagger.json
3;0;2669;927;3596;0543_Divya-RS-Products-1.00-swagger.json
27;0;2696;927;3623;0551_DotFinance-TangoAPI-1.2.4-swagger.json
10;1;2706;928;3634;0553_dpeliser-workflow-1.2.0-swagger.json
18;0;2724;928;3652;0554_Dr-D-wapi-0.0.9-swagger.json
19;0;2743;928;3671;0556_drbooze-service_api-3.7.0-swagger.json
1;0;2744;928;3672;0561_Dryden-Corp-e-keeper_5_x_api-1.0-swagger.json
16;16;2760;944;3704;0572_dwisulfahnur-GoKreator-0.2.0-swagger.json
4;0;2764;944;3708;0574_DXC53-APIMActividad-1.0-swagger.json
1;0;2765;944;3709;0575_DXC53-APIMToken-1.0-swagger.json
4;0;2769;944;3713;0576_DXC53-APIMUsuario-1.0-swagger.json
246;5;3015;949;3964;0588_EBANQFINTECH-ebanq-services-1.34.0-swagger.json
10;4;3025;953;3978;0601_EdgeXFoundry1-device-sdk-1.2.1-swagger.json
9;0;3034;953;3987;0616_elasticio-maester-0.0.5-swagger.json
5;1;3039;954;3993;0622_Employment-Office-Ogilvy-2.1.1-swagger.json
10;0;3049;954;4003;0627_Engagency-MyBenefits.Life-v4.1-swagger.json
26;0;3075;954;4029;0631_Enrico-Ansaloni-VST-1.0.0-swagger.json
22;0;3097;954;4051;0633_Enrout-Enrout-1.0.0-oas3-swagger.json
1;0;3098;954;4052;0634_ePropServices-Referrals-1.0.2-swagger.json
40;37;3138;991;4129;0637_erezblm-AmiadClientAPI-2.0.4-swagger.json
4;0;3142;991;4133;0638_erezblm-IoTAdapter-IoTServer-0.1.1-swagger.json
12;0;3154;991;4145;0639_erezblm-IoTServer-IoTAdapter-0.1.2-swagger.json
9;0;3163;991;4154;0650_Evandro18-CRM_PAX-1.0.0-swagger.json
2;0;3165;991;4156;0654_evt-Ambev_Zeus-Ambev_PO7.5_DMS-1.2.0-oas3-swagger.json
4;0;3169;991;4160;0663_f6161-Faresaver_API-0.91-swagger.json
4;1;3173;992;4165;0670_FasterFinance-application-api-1.0.0-swagger.json
104;3;3277;995;4272;0677_felippe.ribeiro-customer-api-9.0.0-swagger.json
17;1;3294;996;4290;0679_FF-IT-e-paraksts_on_boarding_service-1.0.0-swagger.json
4;0;3298;996;4294;0688_FISC-epip-1.0.0-swagger.json
19;1;3317;997;4314;0689_fitriizani-swagger-petstore-1.0.0-swagger.json
43;16;3360;1013;4373;0691_flaxen.tech-footcareer.com-1.0.0-swagger.json
23;2;3383;1015;4398;0692_flo17-TP-Frontend-1.0.0-oas3-swagger.json
25;107;3408;1122;4530;0712_Freight-Trust-api-reference_for_the_kaleido_platform-1.0-swagger.json
31;0;3439;1122;4561;0713_from.digital-MasheryEndpoints-1.1.4-swagger.json
38;2;3477;1124;4601;0716_fuzari7-digital-office-0.1-swagger.json
5;0;3482;1124;4606;0738_getinclusive-status-1.41b-swagger.json
39;6;3521;1130;4651;0750_God-mbh7-Moehlenhoff-Cloud-5.01-swagger.json
2;4;3523;1134;4657;0751_God3-pos-1.3.2-swagger.json
31;3;3554;1137;4691;0759_gosoft-thailand-7-Delivery-Customer-API-1.18-swagger.json
9;0;3563;1137;4700;0766_GreatCode-Listed-api-v1-swagger.json
44;1;3607;1138;4745;0778_guian-MarketplaceAPI-1.0.7-swagger.json
3;0;3610;1138;4748;0781_Guppitus4-Barracuda-1.0.0-swagger.json
52;54;3662;1192;4854;0784_gwdp-IDM-API-0.6.2-swagger.json
12;2;3674;1194;4868;0785_HaakCo-HaakCo-1.0.1-swagger.json
35;58;3709;1252;4961;0789_happy-cog-osborne_erp_service_api-1.0.26-swagger.json
28;0;3737;1252;4989;0793_Harutaka-spectrum-api-v0.1-oas3-swagger.json
2;0;3739;1252;4991;0804_Heildsala.Syn-CreditingManager-1.0.0-oas3-swagger.json
5;0;3744;1252;4996;0812_hgomez-we-kall_api-1.0.0-swagger.json
34;0;3778;1252;5030;0813_Hibin-Mobile-1.0.4-swagger.json
39;2;3817;1254;5071;0815_himkwtn-Hilbert-1.2.0-swagger.json
16;1;3833;1255;5088;0822_hitunes-assignment-1.0.0-swagger.json
46;11;3879;1266;5145;0827_HMH_Sistemas-Isibit_Travel_open_API-1.1.0-swagger.json
37;0;3916;1266;5182;0837_hothouseinc-HH_Redemption_Engine-1.0.0-oas3-swagger.json
4;0;3920;1266;5186;0846_hplussports-catalog-1.0.0-swagger.json
1;0;3921;1266;5187;0856_hyounus-Yell-Api-1.0.2-swagger.json
40;31;3961;1297;5258;0864_Ibermutua-composite-rel-1.0.3-swagger.json
4;0;3965;1297;5262;0873_IETStudent-Catalog-1.0.0-swagger.json
10;5;3975;1302;5277;0875_Igorxp5-AppLada-1.0.0-swagger.json
24;29;3999;1331;5330;0876_igtbLocal-payment-processing_ap_is_include_send_receive_details_reclaims_and_remitance_informations-3.5.0-swagger.json
1;0;4000;1331;5331;0879_ImaginStudio-VehicleRequest-1.0-oas3-swagger.json
2;5;4002;1336;5338;0885_incadea-Basic-2.1.0-swagger.json
9;0;4011;1336;5347;0890_indocomsoft-hacknroll-registration-1.1.0-swagger.json
19;4;4030;1340;5370;0900_inholland1-Bezorg.direct-1.3.0-swagger.json
3;0;4033;1340;5373;0912_Integration_tourists-Travel-1.0.6-swagger.json
4;0;4037;1340;5377;0913_Integration_tourists-Travel_contract_integration_iic-1.0.0-swagger.json
3;0;4040;1340;5380;0914_Integration_tourists-Travel_contract_integration_init-1.0.3-swagger.json
